name,location,city,address,telephone,maplink
Kaos Store,Sanur,Bali,Jl. Danau Toba 12,+62 813 53968306,https://goo.gl/maps/tMwnSVSpcyQ2
Simple Konsep Store,Sanur,Bali,Jl. Danau Tamblingan 77,+62 361 288335,https://goo.gl/maps/1QPc8UFcduQ2
Kado c/o Tandjung Sari Hotel,Sanur,Bali,Jl. Danau Tamblingan 41,+62 361 288441,https://goo.gl/maps/3pQS6fWPFRx
Alila,Uluwatu,Bali,Jl. Belimbing Sari Tambiyak,+62 361 8482166,https://goo.gl/maps/FtkdccVgs362
Alila,Ubud,Bali,Melinggih Kelod, Payangan,+62 361 975963,https://goo.gl/maps/z9XLPFwJiDS2
Alila,Seminyak,Bali,Jl. Taman Ganesha 9,+62 361 3021888,https://goo.gl/maps/NBH3ot4zL282
Alila,Manggis,Bali,Desa Buitan,+62 363 41011,https://goo.gl/maps/FjfGi88Zcbo
